Rk,Lg,Lev,Tms,League ID
1,AAA East,AAA,20,
2,AAA West,AAA,10,
3,AA Central,AA,10,
4,AA Northeast,AA,12,
5,AA South,AA,8,
6,High-A Central,Adv A,12,
7,High-A East,Adv A,12,
8,High-A West,Adv A,6,
9,Low-A East,A,12,
10,Low-A Southeast,A,10,
11,Low-A West,A,8,
12,Arizona Complex,Rookie,18,
13,Florida Complex,Rookie,18,
14,British,Foreign,6,
15,Chinese Professional,Foreign,5,
17,Dutch Major,Foreign,8,
18,Japan Central,Foreign,6,
19,Japan Eastern,Foreign,7,
20,Japan Pacific,Foreign,6,
21,Japan Western,Foreign,5,
22,Korean Baseball Organization,Foreign,10,
23,Arizona Fall,Fall,6,
24,Caribbean,Winter,6,
25,Dominican Winter,Winter,6,
26,Mexican Pacific Winter,Winter,10,
27,Puerto Rican Winter,Winter,5,
28,Venezuelan Winter,Winter,8,
29,Dominican Summer,Foreign Rookie,46,
31,Atlantic,Independent,8,
33,Mexican,Independent,18,
36,United Shore,Independent,4,
53,Carolinas,NCAA,9,
54,Centennial,NCAA,10,
55,Central Atlantic,NCAA,12,
57,Coast-to-Coast,NCAA,5,
58,Colonial,NCAA,9,
59,Colonial States,NCAA,6,
60,Commonwealth,NCAA,9,
61,Commonwealth Coast,NCAA,8,
62,D-II Independent,NCAA,3,
63,D-III Independent,NCAA,3,
64,East Coast,NCAA,9,
65,Empire 8,NCAA,5,
66,Freedom,NCAA,8,
67,Great American,NCAA,12,
68,Great Lakes,NCAA,8,
69,Great Lakes Valley,NCAA,15,
70,Great Midwest,NCAA,12,
71,Great Northeast,NCAA,10,
72,Great Northwest,NCAA,5,
73,Gulf South,NCAA,13,
74,Heartland Collegiate,NCAA,10,
75,Horizon,NCAA,7,
76,Illinois-Wisconsin,NCAA,9,
77,Ivy,NCAA,8,
78,Landmark,NCAA,7,
79,Liberty,NCAA,10,
80,Little East,NCAA,9,
81,Lone Star,NCAA,13,
82,Massachusetts State,NCAA,8,
83,Metro Atlantic,NCAA,11,
84,Michigan,NCAA,8,
85,Mid-America,NCAA,12,
86,Mid-American,NCAA,11,
87,Mid-Eastern,NCAA,8,
88,Midwest Conference,NCAA,10,
89,Minnesota,NCAA,11,
90,Missouri Valley,NCAA,8,
91,Mountain East,NCAA,11,
92,Mountain West,NCAA,7,
93,New England Conf,NCAA,6,
94,New England Small,NCAA,10,
95,New England W&M,NCAA,8,
96,New Jersey,NCAA,10,
97,North Atlantic,NCAA,7,
98,North Coast,NCAA,10,
99,North Eastern,NCAA,9,
100,Northeast,NCAA,8,
101,Northeast 10,NCAA,14,
102,Northern Athletics,NCAA,12,
103,Northern Sun,NCAA,15,
104,Northwest Conf,NCAA,9,
105,Ohio,NCAA,10,
106,Ohio Valley,NCAA,11,
107,Old Dominion,NCAA,12,
108,Pac-12,NCAA,11,
109,Pacific West,NCAA,9,
110,Patriot,NCAA,6,
111,Peach Belt,NCAA,12,
112,Pennsylvania State,NCAA,17,
113,Presidents,NCAA,10,
114,Rocky Mountain,NCAA,9,
115,Skyline,NCAA,11,
116,South Atlantic Conf,NCAA,13,
117,Southeastern,NCAA,14,
118,Southern Athletic,NCAA,8,
119,Southern California,NCAA,9,
120,Southern Collegiate Conf,NCAA,8,
121,Southern Conf,NCAA,8,
122,Southern Intercollegiate,NCAA,12,
123,Southland,NCAA,13,
124,Southwestern Conf,NCAA,10,
125,St. Louis Intercollegiate,NCAA,9,
126,Summit,NCAA,5,
127,Sun Belt,NCAA,12,
128,Sunshine State,NCAA,11,
129,SUNY,NCAA,7,
130,University,NCAA,5,
131,Upper Midwest,NCAA,9,
132,USA South,NCAA,13,
133,West Coast Conf,NCAA,10,
134,Western Athletic,NCAA,10,
135,Wisconsin,NCAA,8,
136,American Midwest,NAIA,10,
137,Appalachian Athletic,NAIA,12,
138,Cal Pac,NAIA,8,
139,Cascade,NAIA,6,
140,Chicagoland,NAIA,12,
141,Crossroads,NAIA,10,
142,Golden State,NAIA,9,
143,Great Plains,NAIA,11,
144,Heart of America,NAIA,13,
145,Kansas Collegiate,NAIA,12,
146,Mid-South,NAIA,8,
147,NAIA Independent,NAIA,19,
148,North Star,NAIA,8,
149,Red River,NAIA,10,
150,River States,NAIA,10,
151,Sooner,NAIA,9,
152,Southern States,NAIA,10,
153,The Sun,NAIA,9,
154,Wolverine-Hoosier,NAIA,12,
167,New England Collegiate,Collegiate Summer,14,
168,New York Collegiate,Collegiate Summer,9,
179,American,Major League,15,AL
180,National,Major League,15,NL
